,,,,,,Time [ms],Speed [RPM]
255,1,0,0,0,,0,0
255,1,0,0,0,,1,0
255,1,0,2,0,,2,490.1960784
255,1,0,5,0,,3,1225.490196
255,1,0,6,0,,4,1470.588235
255,1,0,8,0,,5,1960.784314
255,1,0,8,0,,6,1960.784314
255,1,0,8,0,,7,1960.784314
255,1,0,8,0,,8,1960.784314
255,1,0,8,0,,9,1960.784314
255,1,0,8,0,,10,1960.784314
255,1,0,9,0,,11,2205.882353
255,1,0,8,0,,12,1960.784314
255,1,0,8,0,,13,1960.784314
255,1,0,8,0,,14,1960.784314
255,1,0,9,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,9,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
,,,,,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,8,0,,,
,,,,,,,
255,1,0,8,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,9,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,8,0,,,
255,1,0,4,0,,,
255,1,0,5,0,,,
255,1,0,1,0,,,
255,1,0,1,0,,,
255,1,0,5,0,,,
255,1,0,3,0,,,
255,1,0,0,0,,,
255,1,0,2,0,,,
255,1,0,5,0,,,
255,1,0,2,0,,,
255,1,0,3,0,,,
255,1,0,4,0,,,
255,1,0,2,0,,,
255,1,0,4,0,,,
255,1,0,3,0,,,
255,1,0,3,0,,,
255,1,0,4,0,,,
255,1,0,2,0,,,
255,1,0,4,0,,,
255,1,0,3,0,,,
255,1,0,3,0,,,
255,1,0,5,0,,,
255,1,0,1,0,,,
255,1,0,4,0,,,
255,1,0,4,0,,,
255,1,0,2,0,,,
255,1,0,5,0,,,
255,1,0,3,0,,,
255,1,0,3,0,,,
255,1,0,5,0,,,
255,1,0,2,0,,,
255,1,0,5,0,,,
255,1,0,4,0,,,
255,1,0,4,0,,,
255,1,0,4,0,,,
255,1,0,3,0,,,
255,1,0,5,0,,,
,,,,,,,
255,1,0,3,0,,,
255,1,0,3,0,,,
255,1,0,5,0,,,
255,1,0,2,0,,,
255,1,0,4,0,,,
255,1,0,4,0,,,
255,1,0,4,0,,,
255,1,0,4,0,,,
255,1,0,2,0,,,
255,1,0,5,0,,,
255,1,0,3,0,,,
255,1,0,4,0,,,
255,1,0,3,0,,,
255,1,0,4,0,,,
255,1,0,5,0,,,
255,1,0,1,0,,,
255,1,0,4,0,,,
255,1,0,3,0,,,
255,1,0,0,0,,,
255,1,0,1,0,,,
255,1,0,4,0,,,
255,1,0,4,0,,,
255,1,0,1,0,,,
255,1,0,4,0,,,
255,1,0,3,0,,,
255,1,0,2,0,,,
255,1,0,5,0,,,
255,1,0,3,0,,,
255,1,0,3,0,,,
255,1,0,5,0,,,
255,1,0,2,0,,,
255,1,0,5,0,,,
255,1,0,3,0,,,
,,,,,,,
255,1,0,4,0,,,
255,1,0,5,0,,,
255,1,0,3,0,,,
255,1,0,5,0,,,
255,1,0,2,0,,,
255,1,0,4,0,,,
255,1,0,4,0,,,
255,1,0,1,0,,,
255,1,0,5,0,,,
255,1,0,3,0,,,
255,1,0,3,0,,,
255,1,0,5,0,,,
255,1,0,3,0,,,
255,1,0,5,0,,,
255,1,0,2,0,,,
255,1,0,2,0,,,
255,1,0,1,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
,,,,,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
,,,,,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
,,,,,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
,,,,,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
,,,,,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
,,,,,,,
255,1,0,0,0,,,
255,1,0,0,0,,,
